REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"8656,06",1
"23965,09",1
"5918,42",1
"19362,65",1
"11574,52",1
"17292,04",1
"18012,50",1
"9920,12",1
"8285,62",1
"29832,94",1
"5244,35",1
"30746,32",1
"7123,37",1
"3415,23",1
"8488,55",1
"9292,68",1
"4318,92",1
"22505,03",1
"3544,07",1
"23055,79",1
"13101,56",1
"4488,94",1
"7564,49",1
"7780,62",1
"4403,31",1
"7968,61",1
"11389,59",1
"7131,84",1
"10038,24",1
"10147,72",1
"9166,16",1
"4447,14",1
"1992,51",1
"13228,39",1
"4502,02",1
"15580,33",1
"3622,26",1
"10966,77",1
"4703,86",1
"10283,41",1
"6218,56",1
"10241,01",1
"4688,92",1
"10274,85",1
"10178,63",1
"6286,92",1
"9292,25",1
"10194,36",1
"2708,67",1
"5211,08",1
"6157,57",1
"15640,07",1
"20941,83",1
"5354,59",1
"6804,75",1
"5012,61",1
"5927,17",1
"14364,62",1
"13231,70",1
"9171,77",1
"6170,72",1
"11874,91",1
"4907,12",1
"7838,86",1
"7859,50",1
"11090,15",1
"11117,07",1
"615,10",1
"4942,45",1
"3419,07",1
"17128,21",1
"9728,73",1
"6155,05",1
"4868,66",1
"6675,85",1
"21378,23",1
"3404,22",1
"5462,51",1
"5146,62",1
"5285,19",1
"5647,59",1
"5681,79",1
"5799,41",1
"3858,23",1
"9375,45",1
"12675,90",1
"7283,14",1
"10337,74",1
"5849,00",1
"19851,65",1
"5621,79",1
"6614,28",1
"12247,45",1
"11084,93",1
"22588,96",1
"10363,49",1
"5657,19",1
"2578,28",1
"14084,22",1
"26541,00",1
"10528,64",1
"10889,58",1
"6213,26",1
"4080,23",1
"6193,39",1
"19595,93",1
"23603,75",1
"5157,91",1
"3871,53",1
"9983,70",1
"30563,56",1
"7647,08",1
"3554,95",1
"5534,41",1
"3983,27",1
"4026,50",1
"8526,32",1
"3858,24",1
"5584,52",1
"6036,36",1
"9719,10",1
"10473,28",1
"4631,59",1
"3324,99",1
"13812,12",1
"4038,63",1
"14007,38",1
"6395,91",1
"6638,06",1
"9341,84",1
"20188,11",1
"21018,26",1
"7381,55",1
"17820,32",1
"5264,28",1
